question,removed_token,token_impact_score,original_score,new_score,score_flip,original_rag_answer,perturbed_answer
What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,none,1.0,1,1,NO,Aero-Coral and Noctilucent Metal,hardened 'Aero-Coral' and 'Noctilucent Metal'
What two types of energy are harvested by the 'Dual-Resonance Crystals' of Xylos?,none,1.0,1,1,NO,geothermal energy and psychic energy,geothermal energy and psychic energy
What happens to Sunstone Amulets when they are brought into the Shadow Fen?,none,1.0,1,1,NO,"When a Sunstone Amulet is brought into the Shadow Fen, its magical energy is completely nullified by the region's ambient dark magic.","When a Sunstone Amulet is brought into the Shadow Fen, its magical energy is completely nullified by the region's ambient dark magic. A Sunstone Amulet loses all of its power upon entering the Shadow Fen, as the area's pervasive necrotic energies drain it entirely."
What is the sole food source for the Glimmerwing Moths of Aeridor?,none,1.0,1,1,NO,the pollen of the nocturnal Moonsilk Flower,the pollen of the nocturnal Moonsilk Flower
"According to the Lumina Accords, what is the designated purpose of 'quiet zones'?",none,1.0,1,1,NO,The designated purpose of 'quiet zones' in shared habitats is to provide a sensory-neutral space for species with hypersensitive abilities.,The designated purpose of 'quiet zones' is to provide a sensory-neutral space for species with hypersensitive abilities.
What is the traditional greeting in Blimpton?,none,1.0,1,1,NO,The traditional greeting in Blimpton involves touching elbows while saying 'Flurp be with you'.,The traditional greeting in Blimpton is touching elbows while saying 'Flurp be with you'.
What is the lifespan of a common Gloopfish?,none,1.0,1,1,NO,The common Gloopfish has an average lifespan of 7 Galactic Standard Years (GSY).,7 Galactic Standard Years (GSY)
What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,none,1.0,1,1,NO,"The water from the Font of Resonance possesses a unique property: it resonates with psionic energy, amplifying the mental abilities of those who drink it. The amplification effect is temporary.",The water from the Font of Resonance amplifies the mental abilities of those who drink it.
What is the traditional weapon of the 'Sky-Guardians' of the Citadel?,none,1.0,1,1,NO,The traditional weapon of the 'Sky-Guardians' of the Citadel is a ceremonial blade forged from 'Storm-Metal'.,ceremonial blade forged from 'Storm-Metal'
What defensive ability is possessed by the creature known as the 'Thorned Crawler' in the Bioluminescent Forest?,none,1.0,1,1,NO,The 'Thorned Crawler' can instantaneously grow razor-sharp crystalline thorns across its body when threatened.,The Thorned Crawler can instantaneously grow razor-sharp crystalline thorns across its body when threatened.
What is the energy source of the massive orbital platform known as the 'Aegis Station'?,none,1.0,1,1,NO,"The energy source of the massive orbital platform known as the 'Aegis Station' is a captured and contained miniature black hole, utilizing Hawking radiation.",a captured and contained miniature black hole
What is the population of the capital of the biggest country in Xylos-7?,none,1.0,1,1,NO,over 300 million people,over 300 million people
What's the weather like in the capital of Zhykara?,none,1.0,1,1,NO,Ktharr City is facing one of the biggest snow storms of the year.,"The capital of Zhykara, Ktharr City, is facing one of the biggest snow storms of the year."
What's the value of the element obtained by mixing Aethelite and Pyron?,none,1.0,1,1,NO,The value lies in its unparalleled energy storage capacity.,The value of the element obtained by mixing Aethelite and Pyron lies in its unparalleled energy storage capacity.
What's the side effect of mixing Gravitium and Solara?,none,1.0,1,1,NO,the creation of a localized zone that disrupts kinetic energy transfer and dampens electromagnetic fields.,the creation of a localized zone that disrupts kinetic energy transfer and dampens electromagnetic fields.
What is the total number of plays for the most critically appreciated musician in the Crystalline Sound Weaving genre?,none,1.0,1,1,NO,450 million,450 million
What is the composition of the natural wonder of planet Ntunu?,none,1.0,1,0,YES,"The 'Floating Islands of Aeridia' are primarily composed of a naturally buoyant mineral called 'Aeridium Ore', found only in atmospheric veins.",I don't know based on the provided context.
What is the traditional weapon of the defenders of the Citadel?,none,1.0,1,1,NO,The traditional weapon of the defenders of the Citadel is a ceremonial blade forged from 'Storm-Metal'.,The traditional weapon of the defenders of the Citadel is the ceremonial blade forged from 'Storm-Metal'.
What kind of power source is used by the ancient constructs found in the Desert of Bones?,none,1.0,1,1,NO,"The ancient constructs found in the Desert of Bones use ""Animus Cores"" as their power source.","The ancient constructs found in the Desert of Bones use the following power sources:

- War Golems: Animus Cores
- Sand-Crawlers: Geothermal Converters
- Crystal Sentinels: Starlight Capacitors"
What defensive ability is possessed by the strongest creature found in Bioluminescent Forest?,none,1.0,1,1,NO,"The strongest creature in the Bioluminescent Forest, the 'Thorned Crawler', can instantaneously grow razor-sharp crystalline thorns across its body when threatened.","The strongest creature found in the Bioluminescent Forest, the 'Thorned Crawler', can instantaneously grow razor-sharp crystalline thorns across its body when threatened."
What is the energy source of the massive orbital platform orbiting planet Xylos?,none,1.0,1,1,NO,"A captured and contained miniature black hole, utilizing Hawking radiation.",a captured and contained miniature black hole
What is the primary function of a Zylosian Geo-Resonator?,none,1.0,1,1,NO,to emit a harmonic wave that stabilizes volatile Chronium deposits during mining.,The primary function of a Zylosian Geo-Resonator is to emit a harmonic wave that stabilizes volatile Chronium deposits during mining.
What are the two core elements that make up Volcanic 'Magma-Shields'?,none,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What two powers do Cosmic 'Star-Weavers' channel through their craft?,none,1.0,1,1,NO,"""Nebula-Yarn"" and ""Galaxy-Patterns""",Cosmic 'Star-Weavers' channel 'Nebula-Yarn' and 'Galaxy-Patterns' through their craft.
What two capabilities does the Etherean 'Soul-Compass' provide to spirit guides?,none,1.0,1,1,NO,"The Etherean 'Soul-Compass' enables spirit guides to detect 'Life-Auras' of living beings across great distances and navigate through 'Astral-Currents', allowing travel between dimensional planes.","The Etherean 'Soul-Compass' provides the following two capabilities to spirit guides:

1. Detecting 'Life-Auras' of living beings across great distances.
2. Navigating through 'Astral-Currents', allowing travel between dimensional planes."
What are the two main defensive mechanisms of a Xylotian 'Guardian Orb' drone?,none,1.0,1,1,NO,"The two main defensive mechanisms of a Xylotian 'Guardian Orb' drone are emitting a powerful, localized kinetic pulse to physically repel threats and generating a disorienting multi-spectral light pattern to confuse attackers.","The two main defensive mechanisms of a Xylotian 'Guardian Orb' drone are emitting a powerful, localized kinetic pulse to physically repel threats and generating a disorienting multi-spectral light pattern to confuse attackers."
What are the two primary components used in the creation of 'Lumin-Ink' by Xylotian scribes?,none,1.0,1,1,NO,finely crushed 'Glow-Geodes' and viscous sap extracted from the 'Aether-Blossom' plant,finely crushed 'Glow-Geodes' and viscous sap extracted from the 'Aether-Blossom' plant
What two types of information are encoded onto a Xylotian 'Legacy Crystal'?,none,1.0,1,1,NO,A detailed 'Lineage Record' and a 'Core Essence Imprint','Lineage Record' and 'Core Essence Imprint'
What special abilities do the Gleepglorp and the Flumph from planet Xylar possess?,none,1.0,1,1,NO,"The Gleepglorp from planet Xylar can manipulate Zylonic energy for teleportation. A rare Flumph, also from Xylar, emits Quirkle Crystals that enhance its camouflage.",The Gleepglorp can manipulate Zylonic energy for teleportation. The Flumph emits Quirkle Crystals that enhance its camouflage.
What distinct characteristics do elephants have?,none,1.0,1,1,NO,"The elephant has large, floppy ears. The elephant uses its long trunk to drink water.","The elephant has large, floppy ears and uses its long trunk to drink water."
Where are the Orb of Zinthar and the Scepter of Mydor believed to be located?,none,1.0,1,1,NO,The Orb of Zinthar is hidden deep within the treacherous Whispering Peaks. The Scepter of Mydor lies guarded in the Sunken City of Aerilon.,The Orb of Zinthar is hidden deep within the treacherous Whispering Peaks. The Scepter of Mydor lies guarded in the Sunken City of Aerilon.
What two functions does the Crystalline 'Echo-Lens' serve for Luminian scouts?,none,1.0,1,1,NO,The Crystalline 'Echo-Lens' allows Luminian scouts to perceive 'Light-Trails' left by moving objects and project 'Illumination-Pulses' to temporarily blind or disorient enemies.,The Crystalline 'Echo-Lens' serves two functions for Luminian scouts: allowing them to perceive 'Light-Trails' left by moving objects and projecting 'Illumination-Pulses' to temporarily blind or disorient enemies.
What are the two distinct powers of a Draconian 'Fire-Heart' gem?,none,1.0,1,1,NO,"A Draconian 'Fire-Heart' gem can generate 'Molten-Streams' of liquid fire that flow like water and also produces 'Heat-Shields', protective barriers of superheated air that deflect physical attacks.","The two distinct powers of a Draconian 'Fire-Heart' gem are generating 'Molten-Streams' of liquid fire and producing 'Heat-Shields', protective barriers of superheated air."
What are the two fundamental components of Mechanoid 'Gear-Blood'?,none,1.0,1,1,NO,Liquid-Steel and Spark-Motes,'Liquid-Steel' and 'Spark-Motes'
