id,questions,answers
40f23291d6854f6e86fa7de2,When was the institute that owned The Collegian founded?,1960
c6134c2636174affa82fd364,What year saw the creation of the region where the county of Hertfordshire is located?,1994
a5acad5d734746298156bf63,When was the abolishment of the studio that distributed The Game?,1999
2032d61b236f46ee8abd02ca,When was the publisher of Crux launched?,1998
32f922e504a84c8c87dc60ad,Jan Šindel's was born in what country?,Czech Republic
fa04cb5f683640e1a07905ef,What city is the person who broadened the doctrine of philosophy of language from?,Copenhagen
4f2b77965a5b4533b78b5880,When was the baseball team winning the world series in 2015 baseball created?,1969
92b91c3d49dc4075836879eb,Where did the Baldevins bryllup director die?,Copenhagen
5f7be6f782604c559e02b031,Who was thee first president of the association that wrote the code of ethics for psychology?,G. Stanley Hall
ded128bde8f341249be57e8b,Which major Russian city borders the body of water in which Saaremaa is located?,Saint Petersburg
1dd72cbebe484a5da4243056,When was the employer of John J. Collins established?,1822
20d9585f2941455ea4c28b9e,When did Bush declare the war causing Kerry to criticize him during the 2004 campaign?,2003
f16f7ff3fda24776946d9b0a,What is the college Francis Walsingham attended an instance of?,college of the University of Cambridge
9803ad3c9d9f47c79d1a68d5,What type of university is the college Kyeon Mi-ri attended?,private university
674292f2d7db4f2f8fc19c57,In what year was the author of The Insider's Guide to the Colleges established?,1878
d9457188960f4eca964ba640,When was the territory covered by RIBA's Cambridge branch office created?,1994
8854baa7eb6d473ea202d5cb,What's the meaning of the name of the school that does not include the Mahayava scriptures in its canon?,The School of the Elders
07eebf26e0d14daeae904c74,Where did the director who provided the lyrics to A Time for Singing attend school?,Northwestern's School of Communication
d697f92c6ea844388ce99075,When did the country formerly known as Zaire become independent?,1960
1296c370b4dc4bfcb97eb1e0,Where did Peter and Paul Fortress' designer die?,Saint Petersburg
a6f5457ecf844cc4ab8054ee,When did the network which airs Alt for Norge start?,1988
945e464f8e2e47ac86d4b5b2,Who failed to take back what the French believed instrumental in their defense?,the Russian defences
fb46d2446f0648f583aa601a,What is the field of work of the proposer of the modern synthetic theory of evolution?,bio
fbf3f2407b114847a7f33502,When was the season of Greys Anatomy when Derek died filmed?,"filming for the eleventh season would begin on July 25, 2014"
7d11d21c21f04e44997a8ce8,When did the manufacturer of a pedometer accessory for the iPod become a publicly traded company?,1980
cbccc3d923ab411a81442619,What is the record label for the person who sang Beauty and the Beast with Celine Dion?,Capitol Records
0449cae8337c419ab9463320,Who is the employer of the Iranian scientist who co-invented the first gas laser?,M.I.T.
c917dcaea965434590d0f7d1,How many championships in a row were won by the person who played in the most NBA finals games?,eight
c4f2970c077f4912b821b92c,In what language is the star of Koyelaanchal fluent?,Hindi
9eeca5afc13642129cc01f72,What instrument did the artiste for Vi skall fara bortom månen play?,violin
0df82a88608349c6b3ec8f13,What year did the council which was seated in 1949 adopt the convention of cybercrime in?,2001
01d7ce1959454e3da7025ddb,When did the author of season 7 of game of thrones begin writing Winds of Winter?,2010
b5b2e1ddd86e448aa36af114,"What languages are spoken, written or signed by the person the Schiff test is named after?",Italian
4ad835f0c8ff48e4bacc2864,What language did the leader of the least radicalized faction use?,Chinese
7da95e28bcf743a6ad37dc1d,When did the majority of the patents held by the company the Italian patents firm was representing expire?,2015
4a9cb907bbf149eaba4da365,What language is used by the person after whom the Panizzi lectures are named?,Italian
db928878ff2541429d32ec7c,What is the language for the person who translated Plato's work to Latin?,Italian
d673bd90cb624beebbb198a7,What did Goring believe the person whom he refused to work with in 1940 and 1941 would gain with further support?,control of more Luftwaffe units
5c66d9cc2a2f4968b6b5bf0b,Who was the president of the body that petitioned the king of England to recognize the rights of colonists when the declaration of independence was adopted?,President John Hancock
42ef898e490249ed85f89576,What city is the place Kara Vâsıf Bey died located in?,Istanbul
98e066a8711140d1bb67a01b,"What languages can the star of Accident on Hill Road speak, write or sign?",Hindi
