question,removed_token,token_impact_score,original_score,new_score,score_flip,original_rag_answer,perturbed_answer
What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest?,spring,1.0,1,0,YES,"The water from the Font of Resonance possesses a unique property: it resonates with psionic energy, amplifying the mental abilities of those who drink it.", Drinking water from the sacred spring in the ancient Elderwood forest grants temporary visions of the future.
What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,Xylotian,1.0,1,1,NO,"A trained Xylotian Chrono-Weaver can subtly perceive echoes of recent past events in their immediate vicinity. Furthermore, advanced Chrono-Weavers can project faint, localized temporal distortions, making objects appear to shimmer or briefly lag.", A Chrono-Weaver can perceive echoes of recent past events and project temporal distortions.
What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,Chrono-Weaver,1.0,1,1,NO,"A trained Xylotian Chrono-Weaver can subtly perceive echoes of recent past events in their immediate vicinity. Furthermore, advanced Chrono-Weavers can project faint, localized temporal distortions, making objects appear to shimmer or briefly lag.", A Chrono-Weaver can perceive echoes of recent past events and project temporal distortions.
What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,'Aero-Coral'.For,1.0,1,1,NO,Aero-Coral and Noctilucent Metal, Hardened durability and Aero-Coral clad in Noctilucent Metal
What happens to Sunstone Amulets when they are brought into the Shadow Fen?,"entirely."",",1.0,1,1,NO,"When a Sunstone Amulet is brought into the Shadow Fen, its magical energy is completely nullified by the region's ambient dark magic.", The Sunstone Amulet loses all of its power when brought into the Shadow Fen.
Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,QuantumLeap,1.0,1,1,NO,The Q3 launch of Project Nebula at Vortex Corp was postponed because of a major security flaw discovered in the authentication module of the QuantumLeap framework., The Q3 launch of Project Nebula at Vortex Corp was postponed due to a critical security vulnerability within the framework's authentication system.
What is the sole food source for the Glimmerwing Moths of Aeridor?,sustenance,1.0,1,1,NO,the pollen of the nocturnal Moonsilk Flower, The sole food source for the Glimmerwing Moths of Aeridor is pollen from the Moonsilk Flower.
What is the sole food source for the Glimmerwing Moths of Aeridor?,the,1.0,1,1,NO,the pollen of the nocturnal Moonsilk Flower, The sole food source for the Glimmerwing Moths of Aeridor is pollen from the Moonsilk Flower.
What is the sole food source for the Glimmerwing Moths of Aeridor?,the,1.0,1,1,NO,the pollen of the nocturnal Moonsilk Flower, The sole food source for the Glimmerwing Moths of Aeridor is pollen from the Moonsilk Flower.
What is the sole food source for the Glimmerwing Moths of Aeridor?,is,1.0,1,1,NO,the pollen of the nocturnal Moonsilk Flower, The sole food source for the Glimmerwing Moths of Aeridor is pollen from the Moonsilk Flower.
What is the primary function of a Zylosian Geo-Resonator?,stabilizes,1.0,1,1,NO,to emit a harmonic wave that stabilizes volatile Chronium deposits during mining., The primary function of a Zylosian Geo-Resonator is to stabilize highly reactive Chronium deposits by generating a low-frequency harmonic wave.
"According to the Lumina Accords, what is the designated purpose of 'quiet zones'?",space,1.0,1,1,NO,The designated purpose of 'quiet zones' in shared habitats is to provide a sensory-neutral space for species with hypersensitive abilities.," The designated purpose of 'quiet zones', according to the Lumina Accords, is to provide a sensory-neutral refuge for inhabitants who possess heightened sensory faculties, like telepathy or acute hearing."
What are the two core elements that make up Volcanic 'Magma-Shields'?,work.,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,careful,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,of,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,months,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,requires,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,construction,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What is the primary function of a Zylosian Geo-Resonator?,mining.,1.0,1,1,NO,to emit a harmonic wave that stabilizes volatile Chronium deposits during mining., The primary function of a Zylosian Geo-Resonator is to stabilize highly reactive Chronium deposits by generating a low-frequency harmonic wave.
What are the two core elements that make up Volcanic 'Magma-Shields'?,spikes.The,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,defensive,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,razor-sharp,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,creates,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,earth.Obsidian-Mesh,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,and,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh', Lava-Stone and Obsidian-Mesh
