id,question,answer
1,Who is the mother of the director of film Polish-Russian War (Film)?,(Wojna polsko-ruska) is a 2009 Polish film directed by Xawery Żuławski based on the novel Polish-Russian War under the white-red flag by Dorota Masłowska.
2,"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",Blind Shaft is a 2003 film about a pair of brutal con artists operating in the illegal coal mines of present- day northern China.
3,"When did John V, Prince Of Anhalt-Zerbst's father die?","John was the second (but eldest surviving) son of Ernest I, Prince of Anhalt-Dessau, by his wife Margarete, daughter of Henry I, Duke of Münsterberg-Oels, and granddaughter of George of Poděbrady, King of Bohemia."
4,What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,"Wearing Velvet Slippers under a Golden Umbrella (Pronounced as Katipa phanat see shwe htee hsaung) is a 1970 Burmese film directed by Maung Wunna starring Myat Mon, Myat Lay and Thet Naung."
5,Where was the director of film Ronnie Rocket born?,"Born to a middle-class family in Missoula, Montana, Lynch spent his childhood traveling around the United States before he studied painting at the Pennsylvania Academy of Fine Arts in Philadelphia, where he first made the transition to producing short films."
6,Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,"Prince Charles Bretagne Marie de La Trémoille (24 March 1764 – 10 November 1839), 8th Duke of Thouars, 7th Duke of La Trémoïlle, 10th prince de Tarente, 14th prince de Talmond and 14th Count of Laval, was a French aristocrat and soldier; he was the son of Jean Bretagne Charles de La Trémoille and his wife Princess Marie-Maximilienne of Salm-Kyrburg."
7,Where was the father of Ștefan I. Nenițescu born?,"Born in Galați, his parents were Ștefan Vasiliu, a manual laborer, and his wife Elisabeta (""née"" Zaharia)."
8,Are North Marion High School (Oregon) and Seoul High School both located in the same country?,"Seoul High School( Hangul: 서울고등학교) is a public high school located in the heart of Seoul, South Korea."
9,"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?","Fernando Fernández Gómez (28 August 1921 – 21 November 2007) better known as Fernando Fernán-Gómez was a Spanish actor, screenwriter, film director, theater director and member of the Royal Spanish Academy for seven years."
10,Who is the maternal grandfather of Antiochus X Eusebes?,"Cleopatra IV  was Queen of Egypt briefly from 116 to 115 BC, jointly with her husband Ptolemy IX Lathyros."
11,"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?","Luis Saslavsky( April 21, 1903 – March 20, 1995) was an Argentine film director, screenwriter and film producer, and one of the influential directors in the Cinema of Argentina of the classic era."
12,"Which film has the director born first, Once A Gentleman or The Girl In White?","James Cruze( born Jens Vera Cruz Bosen, March 27, 1884 near Ogden, Utah – August 3, 1942 in Hollywood, California) was a silent film actor and film director."
13,"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?","Franco Rossi( 19 April 1919, Florence- 5 June 2000, Rome) was an Italian film screenwriter and director, mainly known for having directed the six- hour- long Italian- German- British- Swiss TV mini-series"" Quo Vadis?"" in 1985."
14,Where was the director of film Thomas Jefferson (Film) born?,"Burns' documentaries have earned two Academy Award nominations (for 1981's ""Brooklyn Bridge"" and 1985's ""The Statue of Liberty"") and have won several Emmy Awards, among other honors."
15,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,"In 1905, he married his paternal first cousin, Princess Victoria Melita of Saxe-Coburg and Gotha."
16,Where was the place of death of the director of film Beat Girl?,Beat Girl is a 1960 British teen exploitation film directed by Edmond T. Gréville.
17,"Who died first, Fleetwood Sheppard or George William Whitaker?","Fleetwood Sheppard (sometimes spelled as ""Shepphard,Sheppheard,"" and ""Sheppeard"") (1 January 1634 – 25 August 1698) was a British courtier and literary wit who was instrumental in the courts of Charles II of England and William of Orange."
18,"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?","Dani Kouyaté( born June 4, 1961) is a film director and griot from Burkina Faso, which the BBC describes as"" Africa's most important film- making country""."
