question,context,ground_truth,predicted_answer,judge_score
What is the primary function of a Zylosian Geo-Resonator?,,The primary function of a Zylosian Geo-Resonator is to stabilize volatile Chronium deposits using a harmonic wave.,I don't know based on the provided context.,0
Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,,The Q3 launch of Project Nebula was postponed due to a critical security flaw or vulnerability discovered in the authentication module of the QuantumLeap framework.,I don't know based on the provided context.,0
What happens to Sunstone Amulets when they are brought into the Shadow Fen?,,"When Sunstone Amulets are brought into the Shadow Fen, their power is completely drained or nullified by the area's dark magic.",I don't know based on the provided context.,0
What is the sole food source for the Glimmerwing Moths of Aeridor?,,The sole food source for the Glimmerwing Moths of Aeridor is the pollen of the Moonsilk Flower.,I don't know based on the provided context.,0
"According to the Lumina Accords, what is the designated purpose of 'quiet zones'?",,The designated purpose of 'quiet zones' is to provide a sensory-neutral space or refuge for species with hypersensitive abilities.,I don't know based on the provided context.,0
What material is the 'Pylon of Ozym' made from?,,"The Pylon of Ozym is made from solidified, hyper-dense neutrino-ium.",I don't know based on the provided context.,0
"In the programming language CortexScript, what does the '->>' operator do?",,The '->>' operator is used to channel or pipe the output of one asynchronous 'Cognate' function into another.,I don't know based on the provided context.,0
What is the cause of Hyper-Chrono Displacement in 'Warp-Slinger' pilots?,,Hyper-Chrono Displacement is caused by prolonged exposure to temporal fluctuations or waves generated by the ship's 'Reality Anchor'.,I don't know based on the provided context.,0
What key ingredient gives 'Phlorian Salt' its color-changing properties?,,The key ingredient that gives Phlorian Salt its color-changing properties is pulverized 'Emberfly' crystals.,I don't know based on the provided context.,0
"In the sport of Sky-Jousting, how is a 'Null Pass' maneuver scored?",,A 'Null Pass' maneuver is awarded zero points for either competitor.,I don't know based on the provided context.,0
What is the primary export of Zorblaxia?,,crystallized snorflak,I don't know based on the provided context.,0
How many moons orbit the planet Quixar?,,four,I don't know based on the provided context.,0
What color is the sky on Florpion during daytime?,,chartreuse,I don't know based on the provided context.,0
What is the traditional greeting in Blimpton?,,'Flurp be with you' while touching elbows,I don't know based on the provided context.,0
Which element powers the engines of Vexian starships?,,Vexium (element 147),I don't know based on the provided context.,0
What is the lifespan of a common Gloopfish?,,7 Galactic Standard Years,I don't know based on the provided context.,0
On which day do the Xandrians celebrate their New Year?,,Dual Zenith Day,I don't know based on the provided context.,0
What material is used to make currency in Triskelion?,,pressed leaves from the Geldarn tree,I don't know based on the provided context.,0
How do you activate a Nebulon communicator?,,press the central crystal while humming at 432 Hz,I don't know based on the provided context.,0
What is the main ingredient in Plorgonian stew?,,fermented tubers of the Plorg plant,I don't know based on the provided context.,0
