original_row_id,removed_token,new_score,importance_weight_prime,tokens_consumed,new_answer,question,token_importance_score
0,The lightweight frame of a Xylotian Sky-Skiff is primarily made from hardened 'Aero-Coral',1,-1.1920928955078125e-07,593, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,"For durability and energy shielding, the Aero-Coral frame of a Sky-Skiff is then clad in thin sheets of 'Noctilucent Metal'",0,0.4288673996925354,579, Aero-Coral and volcanic rock,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,1.0
0,""", 'Xylotian ground vehicles are often made from volcanic rock",1,-1.1920928955078125e-07,603, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,Sky-Skiffs are typically piloted by a single Xylotian navigator,1,-1.1920928955078125e-07,602, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,The propulsion system of a Sky-Skiff utilizes focused solar winds,1,-1.1920928955078125e-07,604, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,"', ""Aero-Coral is a bio-engineered substance grown in Xylos's upper atmosphere",1,-1.1920928955078125e-07,596, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,The annual 'Great Xylotian Sky Race' features heavily modified Sky-Skiffs,1,-1.1920928955078125e-07,601, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,""", 'Noctilucent Metal glows faintly in the dark, a common aesthetic in Xylotian design",1,-1.1920928955078125e-07,594, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,"', ""Navigational tools on a Sky-Skiff include a 'Star-Compass' and a 'Wind-Gauge'",1,-1.1920928955078125e-07,591, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
0,""", 'Training to pilot a Sky-Skiff begins at a young age for many Xylotians",1,-1.1920928955078125e-07,597, Aero-Coral and Noctilucent Metal,What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,-2.7796304787037916e-07
1,A trained Xylotian Chrono-Weaver can subtly perceive echoes of recent past events in their immediate vicinity,1,0.2571960687637329,630," A Chrono-Weaver in Xylotian culture can project faint, localized temporal distortions and draw energy from ambient Temporal Flux.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,1.0
1,"Furthermore, advanced Chrono-Weavers can project faint, localized temporal distortions, making objects appear to shimmer or briefly lag",1,0.11374491453170776,642," A Xylotian Chrono-Weaver possesses the abilities to subtly perceive echoes of recent past events and manipulate time, drawing energy from ambient Temporal Flux.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.44224981773028904
1,"', ""Xylotian cuisine often features 'Sun-Berries' which ripen instantly upon picking",1,0.0798262357711792,625," A Xylotian Chrono-Weaver can perceive echoes of recent past events and project faint, localized temporal distortions.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.3103711349667233
1,Chrono-Weavers often wear time-keeping amulets made of 'Hourglass Sandstone',1,0.10278022289276123,617, A Xylotian Chrono-Weaver can perceive echoes of recent past events and project temporal distortions.,What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.399618172185897
1,The 'Temporal College' on Xylos is where Chrono-Weavers hone their skills,1,0.0798262357711792,624," A Xylotian Chrono-Weaver can perceive echoes of recent past events and project faint, localized temporal distortions.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.3103711349667233
1,""", 'The Xylotian concept of time is multi-linear, unlike simpler sequential models",1,0.0798262357711792,627," A Xylotian Chrono-Weaver can perceive echoes of recent past events and project faint, localized temporal distortions.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.3103711349667233
1,"Uncontrolled temporal abilities can be dangerous, so Chrono-Weavers undergo rigorous training",1,0.0798262357711792,626," A Xylotian Chrono-Weaver can perceive echoes of recent past events and project faint, localized temporal distortions.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.3103711349667233
1,"Many Xylotian myths involve legendary Chrono-Weavers who could allegedly halt time, though this is unproven",1,0.10278022289276123,611, A Xylotian Chrono-Weaver can perceive echoes of recent past events and project temporal distortions.,What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.399618172185897
1,Chrono-Weaving is considered more of an art than a science by many Xylotians,1,0.0798262357711792,627," A Xylotian Chrono-Weaver can perceive echoes of recent past events and project faint, localized temporal distortions.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.3103711349667233
1,"', ""The energy source for a Chrono-Weaver's abilities is drawn from ambient 'Temporal Flux'",1,0.0798262357711792,621," A Xylotian Chrono-Weaver can perceive echoes of recent past events and project faint, localized temporal distortions.",What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,0.3103711349667233
2,"Within Xylotian terraforming pods, 'Symbiotic Spores' are first tasked with breaking down hostile native soil into a nutrient-rich substrate",0,0.026096224784851074,660," The two key functions of 'Symbiotic Spores' in Xylotian terraforming pods are releasing dormant Xylotian flora seeds to begin atmospheric oxygenation and initiating a small, localized ecosystem.",What are the two key functions of 'Symbiotic Spores' in Xylotian terraforming pods?,0.05439036655625157
2,""", 'Once the soil is viable, these same Symbiotic Spores then release dormant Xylotian flora seeds to begin atmospheric oxygenation",0,0.479794979095459,613," Breaking down hostile native soil into a nutrient-rich substrate and initiating a small, localized ecosystem.",What are the two key functions of 'Symbiotic Spores' in Xylotian terraforming pods?,1.0
2,"', ""The 'Seed Vaults' on Xylos contain genetic material for countless plant species",1,-1.1920928955078125e-07,685, The two key functions of 'Symbiotic Spores' in Xylotian terraforming pods are breaking down hostile native soil into a nutrient-rich substrate and releasing dormant Xylotian flora seeds to begin atmospheric oxygenation.,What are the two key functions of 'Symbiotic Spores' in Xylotian terraforming pods?,-2.484588100015603e-07
2,""", 'Terraforming pods are launched from Xylos towards potentially habitable exoplanets",1,-1.1920928955078125e-07,685, The two key functions of 'Symbiotic Spores' in Xylotian terraforming pods are breaking down hostile native soil into a nutrient-rich substrate and releasing dormant Xylotian flora seeds to begin atmospheric oxygenation.,What are the two key functions of 'Symbiotic Spores' in Xylotian terraforming pods?,-2.484588100015603e-07
2,"', ""The outer shell of a terraforming pod is made from 'Impact-Resistant Ceramite'",1,-1.1920928955078125e-07,684, The two key functions of 'Symbiotic Spores' in Xylotian terraforming pods are breaking down hostile native soil into a nutrient-rich substrate and releasing dormant Xylotian flora seeds to begin atmospheric oxygenation.,What are the two key functions of 'Symbiotic Spores' in Xylotian terraforming pods?,-2.484588100015603e-07
