question,removed_token,token_impact_score,original_score,new_score,score_flip,original_rag_answer,perturbed_answer
What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,'Aero-Coral'.,1.0,1,0,YES,Aero-Coral and Noctilucent Metal,hardened For and Noctilucent Metal
What are the two core elements that make up Volcanic 'Magma-Shields'?,forges,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,'Obsidian-Mesh',1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,that,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,provides,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,both,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,flexibility,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,and,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,cutting,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,edges.,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,Volcanic,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,smiths,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,work,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,in,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,heated,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,reinforced,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,by,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,active,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,magma.,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,The,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,Fire-Mountain,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,is,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,the,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,center,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,of,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,volcanic,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,civilization.,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,Magma-Shields,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,with,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,then,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What are the two core elements that make up Volcanic 'Magma-Shields'?,withstand,1.0,1,1,NO,'Lava-Stone' and 'Obsidian-Mesh',Lava-Stone and Obsidian-Mesh
What two powers do Cosmic 'Star-Weavers' channel through their craft?,also,1.0,1,0,YES,"""Nebula-Yarn"" and ""Galaxy-Patterns""",Cosmic 'Star-Weavers' channel the powers of bending space-time on a cosmic scale and creating or destroying entire star systems through their craft.
What two distinct abilities do Celestian 'Star-Singers' possess?,weave,1.0,1,1,NO,"Celestian 'Star-Singers' possess the abilities to weave 'Harmony-Threads' from cosmic vibrations to create tangible musical constructs and to 'Echo-Call' across vast distances, communicating through stellar resonance.",'Harmony-Threads' and 'Echo-Call'
What are the two fundamental materials used in Ethereal 'Ghost-Nets'?,specialize,1.0,1,1,NO,"""Spirit-Thread"" and ""Phantom-Wire""",Spirit-Thread and Phantom-Wire
What are the two fundamental components of Mechanoid 'Gear-Blood'?,"'Spark-Motes',",1.0,1,0,YES,Liquid-Steel and Spark-Motes,'Liquid-Steel' and 'suspended microscopic sources of electrical energy'
What are the two fundamental materials used in Ethereal 'Ghost-Nets'?,in,1.0,1,1,NO,"""Spirit-Thread"" and ""Phantom-Wire""",Spirit-Thread and Phantom-Wire
What are the two fundamental materials used in Ethereal 'Ghost-Nets'?,world.,1.0,1,1,NO,"""Spirit-Thread"" and ""Phantom-Wire""",Spirit-Thread and Phantom-Wire
What are the two fundamental materials used in Ethereal 'Ghost-Nets'?,hold,1.0,1,1,NO,"""Spirit-Thread"" and ""Phantom-Wire""",Spirit-Thread and Phantom-Wire
What are the two fundamental materials used in Ethereal 'Ghost-Nets'?,incorporeal,1.0,1,1,NO,"""Spirit-Thread"" and ""Phantom-Wire""",Spirit-Thread and Phantom-Wire
