question,removed_token,token_impact_score,original_score,new_score,score_flip,original_rag_answer,perturbed_answer
What is the salary of the most popular actor on the planet Aethelon?,swapped_0_with_1,1.0,1,1,NO,50 million Credits per major project, 50 million Credits (based on the provided context)
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_4_with_5,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_3_with_5,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_3_with_4,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_2_with_5,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_2_with_4,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_2_with_3,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_1_with_5,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_1_with_4,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_1_with_3,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_1_with_2,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_0_with_5,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,swapped_0_with_4,1.0,1,1,NO,Echoes of the Nebulae, 'Echoes of the Nebulae'
Where did the family go on Saturday and what did they do?,none,1.0,1,1,NO,The family went to the beach on Saturday and they built a large sandcastle.," The family went to the beach on Saturday, and they built a large sandcastle."
What are the topics of the books Sarah and Michael are reading?,none,1.0,1,1,NO,Sarah is reading a book about dragons. Michael is reading a book about ancient castles.," Sarah's book is about dragons, and Michael's book is about ancient castles."
What two types of information are encoded onto a Xylotian 'Legacy Crystal'?,swapped_0_with_2,1.0,1,1,NO,A detailed 'Lineage Record' and a 'Core Essence Imprint', A Xylotian Legacy Crystal encodes a 'Lineage Record' and a 'Core Essence Imprint'.
What are the two main functions of the 'Aura-Cloak' worn by Xylotian diplomats?,swapped_0_with_1,1.0,1,1,NO,The two main functions of the 'Aura-Cloak' are to dampen the wearer's strong emotional projections and to project a field of 'Calm-Resonance'.," The Aura-Cloak worn by Xylotian diplomats has two main functions: 1) Dampening the wearer's strong emotional projections to prevent unintended psychic interference, and 2) Projecting a field of 'Calm-Resonance' to soothe agitated individuals in the wearer's vicinity."
What two distinct phases define the operation of a Xylotian 'Matter Re-sequencer'?,swapped_3_with_4,1.0,1,1,NO,'Atomic Deconstruction' and 'Pattern Imprinting', Atomic Deconstruction and Pattern Imprinting
What two distinct phases define the operation of a Xylotian 'Matter Re-sequencer'?,swapped_2_with_4,1.0,1,1,NO,'Atomic Deconstruction' and 'Pattern Imprinting', Atomic Deconstruction and Pattern Imprinting
What two distinct phases define the operation of a Xylotian 'Matter Re-sequencer'?,swapped_2_with_3,1.0,1,1,NO,'Atomic Deconstruction' and 'Pattern Imprinting', Atomic Deconstruction and Pattern Imprinting
What two distinct phases define the operation of a Xylotian 'Matter Re-sequencer'?,swapped_1_with_4,1.0,1,1,NO,'Atomic Deconstruction' and 'Pattern Imprinting', Atomic Deconstruction and Pattern Imprinting
What two distinct phases define the operation of a Xylotian 'Matter Re-sequencer'?,swapped_1_with_3,1.0,1,1,NO,'Atomic Deconstruction' and 'Pattern Imprinting', Atomic Deconstruction and Pattern Imprinting
