question,removed_token,token_impact_score,original_score,new_score,score_flip,original_rag_answer,perturbed_answer
What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,"For durability and energy shielding, the Aero-Coral frame of a Sky-Skiff is then clad in thin sheets of 'Noctilucent Metal'",1.0,1,0,YES,Aero-Coral and Noctilucent Metal, Aero-Coral and volcanic rock
"In the sport of Sky-Jousting, how is a 'Null Pass' maneuver scored?","In Sky-Jousting, a 'Null Pass' maneuver, where both lances break simultaneously, is awarded zero points to both competitors",1.0,1,1,NO,"In the sport of Sky-Jousting, a 'Null Pass' maneuver is awarded zero points to both competitors.", A 'Null Pass' in Sky-Jousting results in no points being scored by either jouster and is treated as a draw for that pass.
What is the primary export of Zorblaxia?,"Zorblaxia's economy relies heavily on the export of crystallized snorflak, which is mined in the northern regions",1.0,1,1,NO,crystallized snorflak," The primary export of Zorblaxia, according to the provided context, is crystallized snorflak."
What colors did Alex use to paint his toy car?,The library is a quiet place,1.0,1,0,YES,bright red and yellow, Alex used bright red and yellow paint for his toy car.
Which element powers the engines of Vexian starships?,Vexian starships can travel at 0,1.0,1,1,NO,Vexium (element 147)," Element 147, known as 'Vexium'"
What are the two main functions of the 'Aura-Cloak' worn by Xylotian diplomats?,"Simultaneously, the cloak projects a field of 'Calm-Resonance', which can help soothe agitated individuals in the wearer's vicinity",1.0,1,1,NO,The two main functions of the 'Aura-Cloak' are to dampen the wearer's strong emotional projections and to project a field of 'Calm-Resonance'.," The two main functions of the 'Aura-Cloak' worn by Xylotian diplomats are to subtly dampen strong emotional projections and prevent unintended psychic interference during sensitive negotiations, and to signify the diplomat's home region on Xylos."
What two types of information are encoded onto a Xylotian 'Legacy Crystal'?,"Beyond genealogy, these crystals also store a 'Core Essence Imprint', a psychic snapshot of the creator's personality and defining memories",1.0,1,1,NO,A detailed 'Lineage Record' and a 'Core Essence Imprint'," The provided context indicates that a Xylotian 'Legacy Crystal' is traditionally imbued with a detailed 'Lineage Record', chronicling the direct ancestors of the crystal's creator, and the complex information about its physical structure."
What is the primary ingredient of the most famous healing potion?,"The main component required to create 'Sunpetal Balm' is the finely ground powder derived from 'Glow-Moss', a rare bioluminescent plant",1.0,1,0,YES,finely ground powder derived from 'Glow-Moss'," Sunpetal Balm's primary ingredient, based on the provided context, is not explicitly stated. However, it is mentioned that the main component required to create other potions (Moon-Dew Salve and Heartwood Draught) are specific substances derived from certain plants. Since the Balm is the most famous potion with rapid regenerative properties and a slightly golden color, it's reasonable to infer that its primary ingredient might also be derived from a unique plant or substance. However, without further context, we cannot definitively say what this ingredient is."
What colors did Alex use to paint his toy car?,Stars twinkle in the night sky,1.0,1,0,YES,bright red and yellow, Alex used bright red and yellow paint for his toy car.
What is the traditional greeting in Blimpton?,"Blimptonian etiquette requires the elbow-touch greeting, accompanied by the standard phrase 'Flurp be with you'",1.0,1,0,YES,The traditional greeting in Blimpton involves touching elbows while saying 'Flurp be with you'., 'Flurp be with you'
What is the cause of Hyper-Chrono Displacement in 'Warp-Slinger' pilots?,The cause of Hyper-Chrono Displacement in pilots is long-term exposure to the small temporal waves generated by a 'Warp-Slinger's' Reality Anchor,1.0,1,1,NO,long-term exposure to the small temporal waves generated by a 'Warp-Slinger's' Reality Anchor, The cause of Hyper-Chrono Displacement in 'Warp-Slinger' pilots is prolonged exposure to temporal fluctuations from the ship's 'Reality Anchor' during FTL travel.
Which element powers the engines of Vexian starships?,Vexian engineering uses a base-8 numbering system,1.0,1,1,NO,Vexium (element 147)," Element 147, known as 'Vexium'"
Which element powers the engines of Vexian starships?,All Vexian starships are painted in chromatic colors,1.0,1,1,NO,Vexium (element 147)," Element 147, known as 'Vexium'"
What key ingredient gives 'Phlorian Salt' its color-changing properties?,"The color-changing property of Phlorian Salt comes from pulverized 'Emberfly' crystals, which are known to be thermochromic",1.0,1,1,NO,pulverized 'Emberfly' crystals, The key ingredient that gives 'Phlorian Salt' its color-changing properties is ground-up crystals from the Emberfly.
What colors did Alex use to paint his toy car?,The farmer grows corn in the field,1.0,1,0,YES,bright red and yellow, Alex used bright red and yellow paint for his toy car.
What colors did Alex use to paint his toy car?,The dog barked at the mailman,1.0,1,0,YES,bright red and yellow, Alex used bright red and yellow paint for his toy car.
Where did the family go on Saturday and what did they do?,"On Saturday at the beach, my family built a large sandcastle",1.0,1,0,YES,The family went to the beach on Saturday and they built a large sandcastle.," The family went to the beach on Saturday. They did not have any specific activity mentioned in the context, so I don't know if there was anything else they did at the beach."
Which element powers the engines of Vexian starships?,The average Vexian starship crew consists of 12 members,1.0,1,1,NO,Vexium (element 147)," Element 147, known as 'Vexium'"
Which element powers the engines of Vexian starships?,7 light speed,1.0,1,1,NO,Vexium (element 147)," Element 147, known as 'Vexium'"
What colors did Alex use to paint his toy car?,He likes to play video games,1.0,1,0,YES,bright red and yellow, Alex used bright red and yellow paint for his toy car.
What colors did Alex use to paint his toy car?,The river flows towards the sea,1.0,1,0,YES,bright red and yellow, Alex used bright red and yellow paint for his toy car.
What colors did Alex use to paint his toy car?,She wore a warm scarf in the winter,1.0,1,0,YES,bright red and yellow, Alex used bright red and yellow paint for his toy car.
What are the topics of the books Sarah and Michael are reading?,Michael is reading a book about ancient castles,1.0,1,0,YES,Sarah is reading a book about dragons. Michael is reading a book about ancient castles., I don't know based on the provided context. There is no information about what book Michael is reading.
What are the two distinct powers of a Draconian 'Fire-Heart' gem?,Fire-Heart gems are found only in active volcano cores,1.0,1,1,NO,"A Draconian 'Fire-Heart' gem can generate 'Molten-Streams' of liquid fire that flow like water and also produces 'Heat-Shields', protective barriers of superheated air that deflect physical attacks.", Molten-Streams and Heat-Shields
What are the two distinct powers of a Draconian 'Fire-Heart' gem?,The Dragon Council meets in the Flame-Spire Tower,1.0,1,1,NO,"A Draconian 'Fire-Heart' gem can generate 'Molten-Streams' of liquid fire that flow like water and also produces 'Heat-Shields', protective barriers of superheated air that deflect physical attacks.", Molten-Streams and Heat-Shields
What are the two distinct powers of a Draconian 'Fire-Heart' gem?,Draconian cuisine is known for its spicy flavors,1.0,1,1,NO,"A Draconian 'Fire-Heart' gem can generate 'Molten-Streams' of liquid fire that flow like water and also produces 'Heat-Shields', protective barriers of superheated air that deflect physical attacks.", Molten-Streams and Heat-Shields
What two capabilities does the Etherean 'Soul-Compass' provide to spirit guides?,The Etherean 'Soul-Compass' enables spirit guides to detect 'Life-Auras' of living beings across great distances,1.0,1,1,NO,"The Etherean 'Soul-Compass' enables spirit guides to detect 'Life-Auras' of living beings across great distances and navigate through 'Astral-Currents', allowing travel between dimensional planes.", The Soul-Compass allows navigation through Astral-Currents and serves as an individual attunement for spirit guides.
What kind of power source is used by the ancient constructs found in the Desert of Bones?,"The War Golems are powered by self-contained 'Animus Cores', pulsing with captured magical energy",1.0,1,0,YES,"The ancient constructs found in the Desert of Bones use ""Animus Cores"" as their power source."," Geothermal Converters, Starlight Capacitors, and Animus Cores (for limited function of golems)"
Where are the Orb of Zinthar and the Scepter of Mydor believed to be located?,Legends say the Scepter of Mydor lies guarded in the Sunken City of Aerilon,1.0,1,0,YES,The Orb of Zinthar is hidden deep within the treacherous Whispering Peaks. The Scepter of Mydor lies guarded in the Sunken City of Aerilon., I don't know based on the provided context. The context does not mention the location of the Scepter of Mydor.
What are the roles or professions of Elara Vayne and Jax Korden?,Elara Vayne is the chief Star-Navigator of the starship 'Wanderer',1.0,1,0,YES,Elara Vayne is the chief Star-Navigator of the starship 'Wanderer'. Jax Korden serves as the primary Rift-Warden protecting the Chronos Gate.," Jax Korden is a Rift-Warden, while no specific profession for Elara Vayne is mentioned in the provided context."
What are the primary uses described for the 'Chrono-Modulator' or for the 'Bio-Harmonizer'?,"A 'Bio-Harmonizer' implant allows for direct Neural Augmentation, improving cognitive functions",1.0,1,0,YES,"The 'Chrono-Modulator' device is primarily used to create temporary Reality Stabilizers in unstable zones. A 'Bio-Harmonizer' implant allows for direct Neural Augmentation, improving cognitive functions."," I don't know based on the provided context as there is no information about the 'Bio-Harmonizer'. However, the primary use described for the 'Chrono-Modulator' is to create temporary Reality Stabilizers in unstable zones."
What is the title of the first album by the most popular Chrono-Wave musician on Riven Prime?,"The most popular musician within the Chrono-Wave genre on Riven Prime is Kaelen Echo', ""Kaelen Echo's groundbreaking first album is titled 'Temporal Drift'",1.0,1,0,YES,Temporal Drift, I don't know based on the provided context. The text does not mention any specific album titles for a popular Chrono-Wave musician on Riven Prime.
What is the main function of the device recently discovered in desert ruins?,The 'Chrono-Regulator' is a complex piece of ancient technology recently discovered in desert ruins,1.0,1,1,NO,stabilize localized temporal distortions," The main function of the device recently discovered in desert ruins is to stabilize localized temporal distortions, preventing chaotic time anomalies."
What is the total number of plays for the most critically appreciated musician in the Crystalline Sound Weaving genre?,The musician Seraphina is widely considered the most appreciated by critics within the Crystalline Sound Weaving genre,1.0,1,0,YES,450 million," I don't know based on the provided context. The text mentions the total number of plays for Seraphina, but it does not specify whether she is the most critically appreciated musician in the Crystalline Sound Weaving genre or not."
What is the traditional weapon of the defenders of the Citadel?,"The traditional weapon wielded by the 'Sky-Guardians' is a ceremonial blade forged from 'Storm-Metal', a material that resonates with atmospheric energy",1.0,1,0,YES,The traditional weapon of the defenders of the Citadel is a ceremonial blade forged from 'Storm-Metal'.," The traditional weapons of the defenders of the Citadel are a radiant spear (for Sun-Wardens), a silent bow (for Void-Sentinels), and other unspecified weapons."
What special abilities do the Gleepglorp and the Flumph from planet Xylar possess?,The Gleepglorp from planet Xylar can manipulate Zylonic energy for teleportation,1.0,1,0,YES,"The Gleepglorp from planet Xylar can manipulate Zylonic energy for teleportation. A rare Flumph, also from Xylar, emits Quirkle Crystals that enhance its camouflage.", The Flumph from planet Xylar emits Quirkle Crystals that enhance its camouflage. I don't know about any special abilities of the Gleepglorp based on the provided context.
What are the key ingredients needed for a cake recipe?,"To make a cake, you need flour and sugar",1.0,1,0,YES,"flour, sugar, eggs, butter", Eggs and butter
What distinct characteristics do elephants have?,The zookeeper feeds the lions,1.0,1,1,NO,"The elephant has large, floppy ears. The elephant uses its long trunk to drink water."," Large, floppy ears and a long trunk"
Which tools does a carpenter use and what are their stated purposes?,The carpenter uses a hammer to drive nails,1.0,1,0,YES,The carpenter uses a hammer to drive nails and a saw to cut wood., A carpenter uses a saw to cut wood.
What is the composition of the natural wonder of planet Ntunu?,"The 'Floating Islands of Aeridia' are the most famous natural wonder on planet Ntulu, drifting high above the world's surface in the upper atmosphere",1.0,1,0,YES,"The 'Floating Islands of Aeridia' are primarily composed of a naturally buoyant mineral called 'Aeridium Ore', found only in atmospheric veins."," I don't know based on the provided context. The context only discusses the Floating Islands of Aeridia, Crystalline Spires, and Living Bridges of Yggdras from planet Aeridia. No information about any natural wonders from planet Ntunu is given."
What is the main function of the device recently discovered in desert ruins?,Stabilizing temporal distortions is a challenging task,1.0,1,1,NO,stabilize localized temporal distortions," The main function of the device recently discovered in desert ruins is to stabilize localized temporal distortions, preventing chaotic time anomalies."
"In the programming language CortexScript, what does the '->>' operator do?","In CortexScript, the '->>' operator is used to channel the output of one asynchronous 'Cognate' function directly into another",1.0,1,1,NO,The '->>' operator is used to channel the output of one asynchronous 'Cognate' function directly into another., The '->>' operator in CortexScript pipes the results from one asynchronous 'Cognate' into the next one in a pipeline.
What are the two fundamental components of Mechanoid 'Gear-Blood'?,"This Liquid-Steel is energized by suspended 'Spark-Motes', microscopic sources of electrical energy",1.0,1,0,YES,Liquid-Steel and Spark-Motes," Liquid-Steel, Gear-Blood"
What is the primary ingredient of the healing potion known as 'Sunpetal Balm'?,The effects of the Balm are nearly instantaneous,1.0,1,1,NO,the finely ground powder derived from 'Glow-Moss', The primary ingredient of the healing potion known as 'Sunpetal Balm' is finely ground Glow-Moss.
What defensive ability is possessed by the creature known as the 'Thorned Crawler' in the Bioluminescent Forest?,"One creature found here, the 'Thorned Crawler', can instantaneously grow razor-sharp crystalline thorns across its body when threatened, making it difficult to handle",1.0,1,0,YES,The 'Thorned Crawler' can instantaneously grow razor-sharp crystalline thorns across its body when threatened.," The Thorned Crawler possesses brittle, regenerating thorns as a defensive ability."
