question,context,ground_truth,predicted_answer,judge_score
What are the two primary materials used to construct a Xylotian 'Sky-Skiff' hull?,,The two primary materials used to construct a Xylotian 'Sky-Skiff' hull are 'Aero-Coral' for the frame and 'Noctilucent Metal' for the cladding.,I don't know based on the provided context.,0
What two distinct abilities does a Xylotian 'Chrono-Weaver' possess?,,"A Xylotian 'Chrono-Weaver' can perceive echoes of recent past events and project faint, localized temporal distortions.",I don't know based on the provided context.,0
What are the two key functions of 'Symbiotic Spores' in Xylotian terraforming pods?,,'Symbiotic Spores' in Xylotian terraforming pods first break down hostile soil into a nutrient-rich substrate and then release Xylotian flora seeds for atmospheric oxygenation.,I don't know based on the provided context.,0
What two types of energy are harvested by the 'Dual-Resonance Crystals' of Xylos?,,The 'Dual-Resonance Crystals' of Xylos harvest geothermal energy and psychic energy.,I don't know based on the provided context.,0
What are the two main defensive mechanisms of a Xylotian 'Guardian Orb' drone?,,A Xylotian 'Guardian Orb' drone's main defensive mechanisms are emitting a kinetic pulse and generating a disorienting multi-spectral light pattern.,I don't know based on the provided context.,0
What are the two primary components used in the creation of 'Lumin-Ink' by Xylotian scribes?,,The two primary components used in 'Lumin-Ink' are crushed 'Glow-Geodes' and sap from the 'Aether-Blossom' plant.,I don't know based on the provided context.,0
What two sensory inputs does the 'Pathfinder Helm' integrate for Xylotian explorers?,,The 'Pathfinder Helm' integrates 'Echo-Location Sonar' for physical mapping and 'Bio-Sign Scanners' for detecting life forms.,I don't know based on the provided context.,0
What two distinct phases define the operation of a Xylotian 'Matter Re-sequencer'?,,A Xylotian 'Matter Re-sequencer' operates in two phases: 'Atomic Deconstruction' and 'Pattern Imprinting'.,I don't know based on the provided context.,0
What are the two main functions of the 'Aura-Cloak' worn by Xylotian diplomats?,,The 'Aura-Cloak' dampens the wearer's emotional projections and projects a field of 'Calm-Resonance'.,I don't know based on the provided context.,0
What two types of information are encoded onto a Xylotian 'Legacy Crystal'?,,A Xylotian 'Legacy Crystal' encodes a 'Lineage Record' and a 'Core Essence Imprint'.,I don't know based on the provided context.,0
What are the topics of the books Sarah and Michael are reading?,,Sarah is reading about dragons and Michael is reading about ancient castles.,I don't know based on the provided context.,0
Where did the family go on Saturday and what did they do?,,The family went to the beach on Saturday and built a large sandcastle.,I don't know based on the provided context.,0
What colors did Alex use to paint his toy car?,,Alex painted his toy car bright red and used yellow for the stripes.,I don't know based on the provided context.,0
What special abilities do the Gleepglorp and the Flumph from planet Xylar possess?,,"The Gleepglorp can manipulate Zylonic energy for teleportation, and the Flumph emits Quirkle Crystals that enhance its camouflage.",I don't know based on the provided context.,0
What distinct characteristics do elephants have?,,"Elephants have large, floppy ears and use their long trunk to drink water.",I don't know based on the provided context.,0
What are the key ingredients needed for a cake recipe?,,"The key ingredients for a cake are flour, sugar, eggs, and butter.",I don't know based on the provided context.,0
Which tools does a carpenter use and what are their stated purposes?,,A carpenter uses a hammer to drive nails and a saw to cut wood.,I don't know based on the provided context.,0
Where are the Orb of Zinthar and the Scepter of Mydor believed to be located?,,"The Orb of Zinthar is hidden in the Whispering Peaks, and the Scepter of Mydor is in the Sunken City of Aerilon.",I don't know based on the provided context.,0
What are the roles or professions of Elara Vayne and Jax Korden?,,"Elara Vayne is the chief Star-Navigator of the starship 'Wanderer', and Jax Korden is the primary Rift-Warden protecting the Chronos Gate.",I don't know based on the provided context.,0
What are the primary uses described for the 'Chrono-Modulator' or for the 'Bio-Harmonizer'?,,"The 'Chrono-Modulator' is used to create temporary Reality Stabilizers, and the 'Bio-Harmonizer' allows for Neural Augmentation.",I don't know based on the provided context.,0
What are the two core elements that power a Zephyrian 'Storm-Engine'?,,A Zephyrian 'Storm-Engine' is powered by 'Lightning Essence' and 'Thunder-Stone'.,I don't know based on the provided context.,0
What two abilities does a Valorian 'Mind-Smith' possess in their craft?,,A Valorian 'Mind-Smith' can forge 'Thought-Metal' and perform 'Memory-Welding'.,I don't know based on the provided context.,0
What are the two primary components of Neridian 'Depth-Armor'?,,Neridian 'Depth-Armor' is made from 'Pressure-Scales' and 'Abyssal-Resin'.,I don't know based on the provided context.,0
What two functions does the Crystalline 'Echo-Lens' serve for Luminian scouts?,,The Crystalline 'Echo-Lens' perceives 'Light-Trails' and projects 'Illumination-Pulses'.,I don't know based on the provided context.,0
What are the two distinct powers of a Draconian 'Fire-Heart' gem?,,A Draconian 'Fire-Heart' gem generates 'Molten-Streams' and produces 'Heat-Shields'.,I don't know based on the provided context.,0
What two materials are essential for creating Sylvanian 'Grove-Cloth'?,,Sylvanian 'Grove-Cloth' is made from 'Whisper-Willow' fibers and 'Moon-Silk'.,I don't know based on the provided context.,0
What two capabilities does the Etherean 'Soul-Compass' provide to spirit guides?,,The Etherean 'Soul-Compass' detects 'Life-Auras' and navigates 'Astral-Currents'.,I don't know based on the provided context.,0
What are the two fundamental components of Mechanoid 'Gear-Blood'?,,Mechanoid 'Gear-Blood' consists of 'Liquid-Steel' and 'Spark-Motes'.,I don't know based on the provided context.,0
What two distinct abilities do Celestian 'Star-Singers' possess?,,Celestian 'Star-Singers' can weave 'Harmony-Threads' and perform 'Echo-Calls'.,I don't know based on the provided context.,0
What are the two key components of Atlantean 'Tide-Weapons'?,,Atlantean 'Tide-Weapons' contain 'Whirlpool-Ore' and 'Current-Crystals'.,I don't know based on the provided context.,0
What two functions does the Mystic 'Dream-Weaver's Loom' perform?,,The Mystic 'Dream-Weaver's Loom' captures 'Sleep-Visions' and performs 'Memory-Stitching'.,I don't know based on the provided context.,0
What are the two primary elements used in Prismarian 'Light-Forging'?,,Prismarian 'Light-Forging' uses 'Rainbow-Essence' and 'Photon-Hammers'.,I don't know based on the provided context.,0
What two abilities are granted by Shadowmere 'Void-Cloaks'?,,Shadowmere 'Void-Cloaks' grant 'Phase-Shift' and 'Shadow-Meld' abilities.,I don't know based on the provided context.,0
What are the two core materials in Aerion 'Wind-Walker' boots?,,Aerion 'Wind-Walker' boots use 'Cloud-Leather' and 'Gust-Metal'.,I don't know based on the provided context.,0
What two functions does the Glacian 'Frost-Crown' serve?,,The Glacian 'Frost-Crown' generates 'Ice-Shields' and produces 'Blizzard-Pulses'.,I don't know based on the provided context.,0
What are the two primary components of Terran 'Stone-Speaker' staffs?,,Terran 'Stone-Speaker' staffs use 'Ancient-Heartwood' and 'Resonance-Stones'.,I don't know based on the provided context.,0
What two abilities do Phantasmal 'Spirit-Mirrors' possess?,,Phantasmal 'Spirit-Mirrors' reveal 'Soul-Echoes' and project 'Phantom-Images'.,I don't know based on the provided context.,0
What are the two essential materials for Vortexian 'Spiral-Blades'?,,Vortexian 'Spiral-Blades' are made from 'Cyclone-Steel' and 'Whirlwind-Crystal'.,I don't know based on the provided context.,0
What two distinct powers do Verdant 'Life-Wands' channel?,,Verdant 'Life-Wands' channel 'Growth-Force' and 'Vitality-Streams'.,I don't know based on the provided context.,0
